,Churn,Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,CityTier_2,CityTier_3,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single
0,1,4.0,6.0,3.0,3,2,9.0,1,11.0,1.0,1.0,5.0,159.93,1,0,1,0,1,0,0,0,0,1,0,0,0,1
1,1,1.0,8.0,3.0,4,3,7.0,1,15.0,0.0,1.0,0.0,120.9,1,0,0,0,0,0,1,1,0,0,1,0,0,1
2,1,1.0,30.0,2.0,4,3,6.0,1,14.0,0.0,1.0,3.0,120.28,1,0,0,0,1,0,0,1,0,0,1,0,0,1
3,1,0.0,15.0,2.0,4,5,8.0,0,23.0,0.0,1.0,3.0,134.07,1,0,1,0,1,0,0,1,0,1,0,0,0,1
4,1,0.0,12.0,3.0,3,5,3.0,0,11.0,1.0,1.0,3.0,129.6,1,0,0,1,0,0,0,1,0,0,1,0,0,1
5,1,0.0,22.0,3.0,5,5,2.0,1,22.0,4.0,6.0,7.0,139.19,0,0,0,0,1,0,0,0,0,0,1,0,0,1
6,1,7.0,11.0,2.0,3,2,4.0,0,14.0,0.0,1.0,0.0,120.86000000000001,1,0,1,0,0,0,0,1,0,1,0,0,0,0
7,1,5.0,6.0,3.0,3,2,3.0,1,16.0,2.0,2.0,0.0,122.93,1,0,0,1,0,0,0,1,0,0,1,0,0,0
8,1,13.0,9.0,3.0,4,3,2.0,1,14.0,0.0,1.0,2.0,126.83000000000001,1,0,1,0,0,1,0,1,0,0,1,0,0,0
9,1,1.0,31.0,2.0,5,3,2.0,0,12.0,1.0,1.0,1.0,122.93,1,0,0,0,1,0,0,1,0,0,1,0,0,1
10,1,4.0,18.0,2.0,3,3,2.0,0,14.0,9.0,14.0,8.0,295.45,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,1,11.0,6.0,3.0,4,3,10.0,1,13.0,0.0,1.0,0.0,153.81,1,0,0,0,1,0,0,1,0,0,0,0,0,1
12,1,0.0,11.0,2.0,3,3,2.0,1,13.0,2.0,2.0,2.0,134.41,1,0,0,0,0,0,0,1,0,0,1,0,0,1
13,1,0.0,15.0,3.0,4,3,1.0,1,17.0,0.0,1.0,0.0,133.88,1,0,0,1,0,0,0,1,0,0,1,0,0,0
14,1,9.0,15.0,3.0,4,2,2.0,0,16.0,0.0,4.0,7.0,196.19,1,0,1,1,0,0,0,1,0,0,0,0,0,1
15,1,5.0,12.0,3.0,3,5,5.0,1,22.0,1.0,1.0,2.0,120.72999999999999,1,1,0,0,0,0,1,1,0,0,1,0,1,0
16,1,0.0,12.0,3.0,4,2,2.0,1,18.0,1.0,1.0,0.0,129.26,0,0,0,0,1,0,0,0,0,0,1,0,0,1
17,1,0.0,11.0,2.0,4,3,2.0,1,11.0,1.0,1.0,3.0,157.44,1,0,1,0,0,1,0,1,0,1,0,0,0,1
18,1,0.0,13.0,3.0,5,3,2.0,1,24.0,1.0,1.0,6.0,160.74,0,0,0,0,1,0,0,1,0,1,0,0,0,1
19,1,19.0,20.0,3.0,3,4,10.0,1,18.0,1.0,4.0,3.0,149.63,1,0,0,0,1,0,0,0,0,0,1,0,0,0
20,1,0.0,12.0,3.0,5,3,5.0,1,18.0,6.0,7.0,7.0,161.72,1,0,1,0,1,0,0,1,0,1,0,0,0,0
21,1,20.0,29.0,3.0,3,2,2.0,0,12.0,9.0,14.0,6.0,203.12,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22,1,1.0,28.0,2.0,3,3,2.0,1,19.0,0.0,1.0,0.0,116.75,1,0,1,0,0,1,0,1,0,0,1,0,0,1
23,1,0.0,26.0,3.0,5,3,4.0,1,11.0,1.0,2.0,2.0,145.59,1,0,1,0,1,0,0,0,0,1,0,0,0,0
24,1,14.0,14.0,2.0,5,2,3.0,0,15.0,0.0,1.0,3.0,206.5,0,0,0,0,1,0,0,1,0,0,0,0,0,1
25,1,0.0,15.0,2.0,3,5,8.0,0,22.0,1.0,1.0,4.0,142.0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
26,0,8.0,6.0,3.0,3,4,2.0,0,13.0,1.0,1.0,6.0,172.95,1,0,1,0,0,1,0,1,0,0,0,0,0,0
27,0,7.0,12.0,2.0,3,3,3.0,1,20.0,0.0,4.0,5.0,123.06,1,0,1,0,0,1,0,1,0,1,0,0,0,0
28,0,18.0,14.0,2.0,3,4,9.0,0,18.0,1.0,1.0,15.0,123.47999999999999,1,0,0,0,1,0,0,1,0,1,0,0,1,0
29,0,5.0,14.0,2.0,3,2,2.0,0,14.0,2.0,3.0,7.0,189.98,0,0,1,0,0,1,0,0,0,0,0,0,0,1
30,0,2.0,6.0,2.0,3,3,2.0,0,13.0,0.0,1.0,9.0,143.19,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31,0,0.0,13.0,2.0,4,3,3.0,0,17.0,1.0,1.0,0.0,161.32,1,0,0,1,0,0,0,1,0,1,0,0,0,0
32,0,30.0,15.0,3.0,4,4,5.0,1,20.0,1.0,1.0,0.0,133.46,1,0,0,1,0,0,0,0,0,0,1,0,0,0
33,0,13.0,10.0,3.0,4,2,8.0,0,11.0,2.0,2.0,11.0,208.55,1,0,1,0,0,1,0,1,0,0,0,0,0,0
34,0,5.0,8.0,3.0,3,3,7.0,0,18.0,1.0,1.0,2.0,122.31,0,0,1,0,0,1,0,0,0,0,1,0,0,0
35,0,0.0,13.0,3.0,3,2,2.0,0,24.0,0.0,2.0,2.0,123.22999999999999,1,0,0,1,0,0,0,1,0,0,1,0,0,0
36,0,5.0,15.0,2.0,3,4,7.0,0,18.0,0.0,2.0,2.0,120.24000000000001,0,0,0,1,0,0,0,1,0,0,1,0,1,0
37,0,1.0,27.0,3.0,3,2,2.0,0,11.0,0.0,1.0,2.0,127.13,1,0,0,1,0,0,0,1,0,0,1,0,0,0
38,0,30.0,30.0,2.0,2,2,4.0,1,16.0,1.0,1.0,4.0,194.39,1,0,0,0,1,0,0,1,0,0,0,0,1,0
39,0,0.0,13.0,3.0,4,3,2.0,1,15.0,0.0,1.0,1.0,125.66,0,0,0,1,0,0,0,1,0,0,1,0,1,0
40,0,23.0,17.0,2.0,3,4,4.0,0,14.0,2.0,4.0,4.0,299.26,1,0,0,0,1,0,0,0,0,0,0,1,0,1
41,0,14.0,13.0,2.0,3,3,5.0,0,12.0,1.0,1.0,8.0,124.50999999999999,1,0,0,0,1,0,0,1,0,0,1,0,1,0
42,0,3.0,11.0,2.0,3,2,3.0,0,12.0,2.0,7.0,4.0,194.19,1,0,1,0,1,0,0,0,0,0,0,0,0,0
43,0,11.0,6.0,2.0,4,2,5.0,0,22.0,1.0,1.0,1.0,186.86,1,0,1,0,1,0,0,0,0,1,0,0,0,1
44,0,5.0,12.0,3.0,3,3,4.0,0,20.0,0.0,1.0,4.0,130.38,1,0,0,0,1,0,0,1,0,0,1,0,0,1
45,0,0.0,23.0,3.0,3,4,1.0,1,16.0,1.0,1.0,1.0,130.58,1,0,0,0,0,0,0,1,0,0,1,0,0,0
46,1,0.0,13.0,3.0,5,5,1.0,0,21.0,1.0,1.0,0.0,123.25,0,0,1,0,0,0,0,0,0,0,1,0,0,1
47,0,1.0,9.0,1.0,3,4,5.0,0,12.0,4.0,7.0,2.0,120.88,0,0,0,1,0,0,0,1,0,0,1,0,0,1
48,0,3.0,15.0,3.0,3,5,2.0,0,11.0,0.0,6.0,10.0,130.72,0,0,0,1,0,0,0,1,0,1,0,0,1,0
49,0,18.0,10.0,1.0,3,5,5.0,1,11.0,0.0,1.0,3.0,150.06,1,0,1,0,1,0,0,0,0,1,0,0,1,0
50,0,29.0,14.0,3.0,3,5,5.0,1,18.0,1.0,2.0,2.0,142.57,1,0,0,0,1,0,0,0,0,0,1,0,1,0
51,0,6.0,13.0,2.0,3,2,1.0,0,14.0,0.0,1.0,2.0,125.0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
52,1,0.0,8.0,2.0,4,2,2.0,0,22.0,0.0,1.0,0.0,111.02000000000001,1,0,0,0,1,0,0,1,0,0,1,0,0,1
53,0,19.0,6.0,3.0,3,5,2.0,0,25.0,4.0,14.0,7.0,204.53,1,0,1,0,0,1,0,0,0,0,0,0,1,0
54,0,1.0,15.0,3.0,3,2,2.0,0,12.0,1.0,2.0,1.0,122.88,1,0,0,0,1,0,0,0,0,0,1,0,0,1
55,0,4.0,18.0,3.0,3,2,9.0,1,23.0,1.0,1.0,2.0,139.29,1,0,0,1,0,0,0,0,0,0,1,0,0,0
56,0,1.0,33.0,3.0,3,4,3.0,0,15.0,1.0,1.0,2.0,123.11000000000001,1,0,0,1,0,0,0,0,0,0,1,0,0,1
57,1,4.0,26.0,3.0,3,4,2.0,1,22.0,0.0,1.0,2.0,131.4,1,0,1,0,0,1,0,0,0,0,1,0,0,1
58,0,23.0,6.0,2.0,4,3,3.0,0,15.0,0.0,1.0,2.0,136.9,1,0,0,1,0,0,0,1,0,0,1,0,0,0
59,0,26.0,19.0,2.0,2,5,2.0,0,11.0,1.0,1.0,3.0,144.5,1,0,0,1,0,0,0,0,0,1,0,0,1,0
60,0,6.0,20.0,3.0,3,4,2.0,0,13.0,0.0,1.0,6.0,127.56,1,0,0,1,0,0,0,0,0,0,1,0,0,0
61,0,13.0,10.0,2.0,3,3,2.0,0,14.0,2.0,9.0,9.0,290.33,1,0,0,1,0,0,0,0,0,0,0,1,0,0
62,0,28.0,20.0,3.0,2,4,9.0,0,11.0,2.0,2.0,15.0,287.22,1,0,0,1,0,0,0,1,0,0,0,1,0,1
63,0,7.0,8.0,2.0,4,3,2.0,0,17.0,0.0,1.0,9.0,195.47,0,0,0,0,1,0,0,1,0,1,0,0,0,0
64,0,24.0,9.0,3.0,3,4,4.0,0,18.0,0.0,4.0,0.0,237.33999999999997,1,0,0,1,0,0,0,0,1,0,0,0,0,1
65,0,25.0,6.0,3.0,4,3,1.0,0,14.0,1.0,11.0,9.0,299.99,1,0,0,0,1,0,0,1,0,0,0,1,0,0
66,0,1.0,15.0,2.0,3,4,2.0,0,16.0,1.0,1.0,3.0,122.78999999999999,1,0,0,1,0,0,0,0,0,0,1,0,0,1
67,1,0.0,29.0,2.0,4,3,4.0,1,13.0,1.0,1.0,1.0,159.16,1,0,0,0,1,0,0,1,0,1,0,0,0,0
